pokemon,pokedex_no,hp,attack,defense,special_attack,special_defense,speed,height,weight,type_1,type_2
happiny,440,100,5,5,15,65,30,0.6,24.4,normal,
chatot,441,76,65,45,92,42,91,0.5,1.9,normal,flying
spiritomb,442,50,92,108,92,108,35,1.0,108.0,ghost,dark
gible,443,58,70,45,40,45,42,0.7,20.5,dragon,ground
gabite,444,68,90,65,50,55,82,1.4,56.0,dragon,ground
garchomp,445,108,130,95,80,85,102,1.9,95.0,dragon,ground
munchlax,446,135,85,40,40,85,5,0.6,105.0,normal,
riolu,447,40,70,40,35,40,60,0.7,20.2,fighting,
lucario,448,70,110,70,115,70,90,1.2,54.0,fighting,steel
hippopotas,449,68,72,78,38,42,32,0.8,49.5,ground,
hippowdon,450,108,112,118,68,72,47,2.0,300.0,ground,
skorupi,451,40,50,90,30,55,65,0.8,12.0,poison,bug
drapion,452,70,90,110,60,75,95,1.3,61.5,poison,dark
croagunk,453,48,61,40,61,40,50,0.7,23.0,poison,fighting
toxicroak,454,83,106,65,86,65,85,1.3,44.4,poison,fighting
carnivine,455,74,100,72,90,72,46,1.4,27.0,grass,
finneon,456,49,49,56,49,61,66,0.4,7.0,water,
lumineon,457,69,69,76,69,86,91,1.2,24.0,water,
mantyke,458,45,20,50,60,120,50,1.0,65.0,water,flying
snover,459,60,62,50,62,60,40,1.0,50.5,grass,ice
abomasnow,460,90,92,75,92,85,60,2.2,135.5,grass,ice
weavile,461,70,120,65,45,85,125,1.1,34.0,dark,ice
magnezone,462,70,70,115,130,90,60,1.2,180.0,electric,steel
lickilicky,463,110,85,95,80,95,50,1.7,140.0,normal,
rhyperior,464,115,140,130,55,55,40,2.4,282.8,ground,rock
tangrowth,465,100,100,125,110,50,50,2.0,128.6,grass,
electivire,466,75,123,67,95,85,95,1.8,138.6,electric,
magmortar,467,75,95,67,125,95,83,1.6,68.0,fire,
togekiss,468,85,50,95,120,115,80,1.5,38.0,fairy,flying
yanmega,469,86,76,86,116,56,95,1.9,51.5,bug,flying
leafeon,470,65,110,130,60,65,95,1.0,25.5,grass,
glaceon,471,65,60,110,130,95,65,0.8,25.9,ice,
gliscor,472,75,95,125,45,75,95,2.0,42.5,ground,flying
mamoswine,473,110,130,80,70,60,80,2.5,291.0,ice,ground
porygon-z,474,85,80,70,135,75,90,0.9,34.0,normal,
gallade,475,68,125,65,65,115,80,1.6,52.0,psychic,fighting
probopass,476,60,55,145,75,150,40,1.4,340.0,rock,steel
dusknoir,477,45,100,135,65,135,45,2.2,106.6,ghost,
froslass,478,70,80,70,80,70,110,1.3,26.6,ice,ghost
rotom,479,50,50,77,95,77,91,0.3,0.3,electric,ghost
uxie,480,75,75,130,75,130,95,0.3,0.3,psychic,
mesprit,481,80,105,105,105,105,80,0.3,0.3,psychic,
azelf,482,75,125,70,125,70,115,0.3,0.3,psychic,
dialga,483,100,120,120,150,100,90,5.4,683.0,steel,dragon
palkia,484,90,120,100,150,120,100,4.2,336.0,water,dragon
heatran,485,91,90,106,130,106,77,1.7,430.0,fire,steel
regigigas,486,110,160,110,80,110,100,3.7,420.0,normal,
giratina-altered,487,150,100,120,100,120,90,4.5,750.0,ghost,dragon
cresselia,488,120,70,110,75,120,85,1.5,85.6,psychic,
phione,489,80,80,80,80,80,80,0.4,3.1,water,
manaphy,490,100,100,100,100,100,100,0.3,1.4,water,
darkrai,491,70,90,90,135,90,125,1.5,50.5,dark,
shaymin-land,492,100,100,100,100,100,100,0.2,2.1,grass,
arceus,493,120,120,120,120,120,120,3.2,320.0,normal,
victini,494,100,100,100,100,100,100,0.4,4.0,psychic,fire
snivy,495,45,45,55,45,55,63,0.6,8.1,grass,
servine,496,60,60,75,60,75,83,0.8,16.0,grass,
serperior,497,75,75,95,75,95,113,3.3,63.0,grass,
tepig,498,65,63,45,45,45,45,0.5,9.9,fire,
pignite,499,90,93,55,70,55,55,1.0,55.5,fire,fighting
emboar,500,110,123,65,100,65,65,1.6,150.0,fire,fighting
oshawott,501,55,55,45,63,45,45,0.5,5.9,water,
dewott,502,75,75,60,83,60,60,0.8,24.5,water,
samurott,503,95,100,85,108,70,70,1.5,94.6,water,
patrat,504,45,55,39,35,39,42,0.5,11.6,normal,
watchog,505,60,85,69,60,69,77,1.1,27.0,normal,
lillipup,506,45,60,45,25,45,55,0.4,4.1,normal,
herdier,507,65,80,65,35,65,60,0.9,14.7,normal,
stoutland,508,85,110,90,45,90,80,1.2,61.0,normal,
purrloin,509,41,50,37,50,37,66,0.4,10.1,dark,
liepard,510,64,88,50,88,50,106,1.1,37.5,dark,
pansage,511,50,53,48,53,48,64,0.6,10.5,grass,
simisage,512,75,98,63,98,63,101,1.1,30.5,grass,
pansear,513,50,53,48,53,48,64,0.6,11.0,fire,
simisear,514,75,98,63,98,63,101,1.0,28.0,fire,
panpour,515,50,53,48,53,48,64,0.6,13.5,water,
simipour,516,75,98,63,98,63,101,1.0,29.0,water,
munna,517,76,25,45,67,55,24,0.6,23.3,psychic,
musharna,518,116,55,85,107,95,29,1.1,60.5,psychic,
pidove,519,50,55,50,36,30,43,0.3,2.1,normal,flying
tranquill,520,62,77,62,50,42,65,0.6,15.0,normal,flying
unfezant,521,80,115,80,65,55,93,1.2,29.0,normal,flying
blitzle,522,45,60,32,50,32,76,0.8,29.8,electric,
zebstrika,523,75,100,63,80,63,116,1.6,79.5,electric,
roggenrola,524,55,75,85,25,25,15,0.4,18.0,rock,
boldore,525,70,105,105,50,40,20,0.9,102.0,rock,
gigalith,526,85,135,130,60,80,25,1.7,260.0,rock,
woobat,527,65,45,43,55,43,72,0.4,2.1,psychic,flying
swoobat,528,67,57,55,77,55,114,0.9,10.5,psychic,flying
drilbur,529,60,85,40,30,45,68,0.3,8.5,ground,
excadrill,530,110,135,60,50,65,88,0.7,40.4,ground,steel
audino,531,103,60,86,60,86,50,1.1,31.0,normal,
timburr,532,75,80,55,25,35,35,0.6,12.5,fighting,
gurdurr,533,85,105,85,40,50,40,1.2,40.0,fighting,
conkeldurr,534,105,140,95,55,65,45,1.4,87.0,fighting,
tympole,535,50,50,40,50,40,64,0.5,4.5,water,
palpitoad,536,75,65,55,65,55,69,0.8,17.0,water,ground
seismitoad,537,105,95,75,85,75,74,1.5,62.0,water,ground
throh,538,120,100,85,30,85,45,1.3,55.5,fighting,
sawk,539,75,125,75,30,75,85,1.4,51.0,fighting,
sewaddle,540,45,53,70,40,60,42,0.3,2.5,bug,grass
swadloon,541,55,63,90,50,80,42,0.5,7.3,bug,grass
leavanny,542,75,103,80,70,80,92,1.2,20.5,bug,grass
venipede,543,30,45,59,30,39,57,0.4,5.3,bug,poison
whirlipede,544,40,55,99,40,79,47,1.2,58.5,bug,poison
scolipede,545,60,100,89,55,69,112,2.5,200.5,bug,poison
cottonee,546,40,27,60,37,50,66,0.3,0.6,grass,fairy
whimsicott,547,60,67,85,77,75,116,0.7,6.6,grass,fairy
petilil,548,45,35,50,70,50,30,0.5,6.6,grass,
lilligant,549,70,60,75,110,75,90,1.1,16.3,grass,
basculin-red-striped,550,70,92,65,80,55,98,1.0,18.0,water,
sandile,551,50,72,35,35,35,65,0.7,15.2,ground,dark
krokorok,552,60,82,45,45,45,74,1.0,33.4,ground,dark
krookodile,553,95,117,80,65,70,92,1.5,96.3,ground,dark
darumaka,554,70,90,45,15,45,50,0.6,37.5,fire,
darmanitan-standard,555,105,140,55,30,55,95,1.3,92.9,fire,
maractus,556,75,86,67,106,67,60,1.0,28.0,grass,
dwebble,557,50,65,85,35,35,55,0.3,14.5,bug,rock
crustle,558,70,105,125,65,75,45,1.4,200.0,bug,rock
scraggy,559,50,75,70,35,70,48,0.6,11.8,dark,fighting
scrafty,560,65,90,115,45,115,58,1.1,30.0,dark,fighting
sigilyph,561,72,58,80,103,80,97,1.4,14.0,psychic,flying
yamask,562,38,30,85,55,65,30,0.5,1.5,ghost,
cofagrigus,563,58,50,145,95,105,30,1.7,76.5,ghost,
tirtouga,564,54,78,103,53,45,22,0.7,16.5,water,rock
carracosta,565,74,108,133,83,65,32,1.2,81.0,water,rock
archen,566,55,112,45,74,45,70,0.5,9.5,rock,flying
archeops,567,75,140,65,112,65,110,1.4,32.0,rock,flying
trubbish,568,50,50,62,40,62,65,0.6,31.0,poison,
garbodor,569,80,95,82,60,82,75,1.9,107.3,poison,
zorua,570,40,65,40,80,40,65,0.7,12.5,dark,
zoroark,571,60,105,60,120,60,105,1.6,81.1,dark,
minccino,572,55,50,40,40,40,75,0.4,5.8,normal,
cinccino,573,75,95,60,65,60,115,0.5,7.5,normal,
gothita,574,45,30,50,55,65,45,0.4,5.8,psychic,
gothorita,575,60,45,70,75,85,55,0.7,18.0,psychic,
gothitelle,576,70,55,95,95,110,65,1.5,44.0,psychic,
solosis,577,45,30,40,105,50,20,0.3,1.0,psychic,
duosion,578,65,40,50,125,60,30,0.6,8.0,psychic,
reuniclus,579,110,65,75,125,85,30,1.0,20.1,psychic,
ducklett,580,62,44,50,44,50,55,0.5,5.5,water,flying
swanna,581,75,87,63,87,63,98,1.3,24.2,water,flying
vanillite,582,36,50,50,65,60,44,0.4,5.7,ice,
vanillish,583,51,65,65,80,75,59,1.1,41.0,ice,
vanilluxe,584,71,95,85,110,95,79,1.3,57.5,ice,
deerling,585,60,60,50,40,50,75,0.6,19.5,normal,grass
sawsbuck,586,80,100,70,60,70,95,1.9,92.5,normal,grass
emolga,587,55,75,60,75,60,103,0.4,5.0,electric,flying
karrablast,588,50,75,45,40,45,60,0.5,5.9,bug,
escavalier,589,70,135,105,60,105,20,1.0,33.0,bug,steel
foongus,590,69,55,45,55,55,15,0.2,1.0,grass,poison
amoonguss,591,114,85,70,85,80,30,0.6,10.5,grass,poison
frillish-male,592,55,40,50,65,85,40,1.2,33.0,water,ghost
jellicent-male,593,100,60,70,85,105,60,2.2,135.0,water,ghost
alomomola,594,165,75,80,40,45,65,1.2,31.6,water,
joltik,595,50,47,50,57,50,65,0.1,0.6,bug,electric
galvantula,596,70,77,60,97,60,108,0.8,14.3,bug,electric
ferroseed,597,44,50,91,24,86,10,0.6,18.8,grass,steel
ferrothorn,598,74,94,131,54,116,20,1.0,110.0,grass,steel
klink,599,40,55,70,45,60,30,0.3,21.0,steel,
klang,600,60,80,95,70,85,50,0.6,51.0,steel,
klinklang,601,60,100,115,70,85,90,0.6,81.0,steel,
tynamo,602,35,55,40,45,40,60,0.2,0.3,electric,
eelektrik,603,65,85,70,75,70,40,1.2,22.0,electric,
eelektross,604,85,115,80,105,80,50,2.1,80.5,electric,
elgyem,605,55,55,55,85,55,30,0.5,9.0,psychic,
beheeyem,606,75,75,75,125,95,40,1.0,34.5,psychic,
litwick,607,50,30,55,65,55,20,0.3,3.1,ghost,fire
lampent,608,60,40,60,95,60,55,0.6,13.0,ghost,fire
chandelure,609,60,55,90,145,90,80,1.0,34.3,ghost,fire
axew,610,46,87,60,30,40,57,0.6,18.0,dragon,
fraxure,611,66,117,70,40,50,67,1.0,36.0,dragon,
haxorus,612,76,147,90,60,70,97,1.8,105.5,dragon,
cubchoo,613,55,70,40,60,40,40,0.5,8.5,ice,
beartic,614,95,130,80,70,80,50,2.6,260.0,ice,
cryogonal,615,80,50,50,95,135,105,1.1,148.0,ice,
shelmet,616,50,40,85,40,65,25,0.4,7.7,bug,
accelgor,617,80,70,40,100,60,145,0.8,25.3,bug,
stunfisk,618,109,66,84,81,99,32,0.7,11.0,ground,electric
mienfoo,619,45,85,50,55,50,65,0.9,20.0,fighting,
mienshao,620,65,125,60,95,60,105,1.4,35.5,fighting,
druddigon,621,77,120,90,60,90,48,1.6,139.0,dragon,
golett,622,59,74,50,35,50,35,1.0,92.0,ground,ghost
golurk,623,89,124,80,55,80,55,2.8,330.0,ground,ghost
pawniard,624,45,85,70,40,40,60,0.5,10.2,dark,steel
bisharp,625,65,125,100,60,70,70,1.6,70.0,dark,steel
bouffalant,626,95,110,95,40,95,55,1.6,94.6,normal,
rufflet,627,70,83,50,37,50,60,0.5,10.5,normal,flying
braviary,628,100,123,75,57,75,80,1.5,41.0,normal,flying
vullaby,629,70,55,75,45,65,60,0.5,9.0,dark,flying
mandibuzz,630,110,65,105,55,95,80,1.2,39.5,dark,flying
heatmor,631,85,97,66,105,66,65,1.4,58.0,fire,
durant,632,58,109,112,48,48,109,0.3,33.0,bug,steel
deino,633,52,65,50,45,50,38,0.8,17.3,dark,dragon
zweilous,634,72,85,70,65,70,58,1.4,50.0,dark,dragon
hydreigon,635,92,105,90,125,90,98,1.8,160.0,dark,dragon
larvesta,636,55,85,55,50,55,60,1.1,28.8,bug,fire
volcarona,637,85,60,65,135,105,100,1.6,46.0,bug,fire
cobalion,638,91,90,129,90,72,108,2.1,250.0,steel,fighting
terrakion,639,91,129,90,72,90,108,1.9,260.0,rock,fighting
virizion,640,91,90,72,90,129,108,2.0,200.0,grass,fighting
tornadus-incarnate,641,79,115,70,125,80,111,1.5,63.0,flying,
thundurus-incarnate,642,79,115,70,125,80,111,1.5,61.0,electric,flying
reshiram,643,100,120,100,150,120,90,3.2,330.0,dragon,fire
zekrom,644,100,150,120,120,100,90,2.9,345.0,dragon,electric
landorus-incarnate,645,89,125,90,115,80,101,1.5,68.0,ground,flying
kyurem,646,125,130,90,130,90,95,3.0,325.0,dragon,ice
keldeo-ordinary,647,91,72,90,129,90,108,1.4,48.5,water,fighting
meloetta-aria,648,100,77,77,128,128,90,0.6,6.5,normal,psychic
genesect,649,71,120,95,120,95,99,1.5,82.5,bug,steel
chespin,650,56,61,65,48,45,38,0.4,9.0,grass,
quilladin,651,61,78,95,56,58,57,0.7,29.0,grass,
chesnaught,652,88,107,122,74,75,64,1.6,90.0,grass,fighting
fennekin,653,40,45,40,62,60,60,0.4,9.4,fire,
braixen,654,59,59,58,90,70,73,1.0,14.5,fire,
delphox,655,75,69,72,114,100,104,1.5,39.0,fire,psychic
froakie,656,41,56,40,62,44,71,0.3,7.0,water,
frogadier,657,54,63,52,83,56,97,0.6,10.9,water,
greninja,658,72,95,67,103,71,122,1.5,40.0,water,dark
bunnelby,659,38,36,38,32,36,57,0.4,5.0,normal,
diggersby,660,85,56,77,50,77,78,1.0,42.4,normal,ground
fletchling,661,45,50,43,40,38,62,0.3,1.7,normal,flying
fletchinder,662,62,73,55,56,52,84,0.7,16.0,fire,flying
talonflame,663,78,81,71,74,69,126,1.2,24.5,fire,flying
scatterbug,664,38,35,40,27,25,35,0.3,2.5,bug,
spewpa,665,45,22,60,27,30,29,0.3,8.4,bug,
vivillon,666,80,52,50,90,50,89,1.2,17.0,bug,flying
litleo,667,62,50,58,73,54,72,0.6,13.5,fire,normal
pyroar-male,668,86,68,72,109,66,106,1.5,81.5,fire,normal
flabebe,669,44,38,39,61,79,42,0.1,0.1,fairy,
floette,670,54,45,47,75,98,52,0.2,0.9,fairy,
florges,671,78,65,68,112,154,75,1.1,10.0,fairy,
skiddo,672,66,65,48,62,57,52,0.9,31.0,grass,
gogoat,673,123,100,62,97,81,68,1.7,91.0,grass,
pancham,674,67,82,62,46,48,43,0.6,8.0,fighting,
pangoro,675,95,124,78,69,71,58,2.1,136.0,fighting,dark
furfrou,676,75,80,60,65,90,102,1.2,28.0,normal,
espurr,677,62,48,54,63,60,68,0.3,3.5,psychic,
meowstic-male,678,74,48,76,83,81,104,0.6,8.5,psychic,
honedge,679,45,80,100,35,37,28,0.8,2.0,steel,ghost
doublade,680,59,110,150,45,49,35,0.8,4.5,steel,ghost
aegislash-shield,681,60,50,140,50,140,60,1.7,53.0,steel,ghost
spritzee,682,78,52,60,63,65,23,0.2,0.5,fairy,
aromatisse,683,101,72,72,99,89,29,0.8,15.5,fairy,
swirlix,684,62,48,66,59,57,49,0.4,3.5,fairy,
slurpuff,685,82,80,86,85,75,72,0.8,5.0,fairy,
inkay,686,53,54,53,37,46,45,0.4,3.5,dark,psychic
malamar,687,86,92,88,68,75,73,1.5,47.0,dark,psychic
binacle,688,42,52,67,39,56,50,0.5,31.0,rock,water
barbaracle,689,72,105,115,54,86,68,1.3,96.0,rock,water
skrelp,690,50,60,60,60,60,30,0.5,7.3,poison,water
dragalge,691,65,75,90,97,123,44,1.8,81.5,poison,dragon
clauncher,692,50,53,62,58,63,44,0.5,8.3,water,
clawitzer,693,71,73,88,120,89,59,1.3,35.3,water,
helioptile,694,44,38,33,61,43,70,0.5,6.0,electric,normal
heliolisk,695,62,55,52,109,94,109,1.0,21.0,electric,normal
tyrunt,696,58,89,77,45,45,48,0.8,26.0,rock,dragon
tyrantrum,697,82,121,119,69,59,71,2.5,270.0,rock,dragon
amaura,698,77,59,50,67,63,46,1.3,25.2,rock,ice
aurorus,699,123,77,72,99,92,58,2.7,225.0,rock,ice
sylveon,700,95,65,65,110,130,60,1.0,23.5,fairy,
hawlucha,701,78,92,75,74,63,118,0.8,21.5,fighting,flying
dedenne,702,67,58,57,81,67,101,0.2,2.2,electric,fairy
carbink,703,50,50,150,50,150,50,0.3,5.7,rock,fairy
goomy,704,45,50,35,55,75,40,0.3,2.8,dragon,
sliggoo,705,68,75,53,83,113,60,0.8,17.5,dragon,
goodra,706,90,100,70,110,150,80,2.0,150.5,dragon,
klefki,707,57,80,91,80,87,75,0.2,3.0,steel,fairy
phantump,708,43,70,48,50,60,38,0.4,7.0,ghost,grass
trevenant,709,85,110,76,65,82,56,1.5,71.0,ghost,grass
pumpkaboo-average,710,49,66,70,44,55,51,0.4,5.0,ghost,grass
gourgeist-average,711,65,90,122,58,75,84,0.9,12.5,ghost,grass
bergmite,712,55,69,85,32,35,28,1.0,99.5,ice,
avalugg,713,95,117,184,44,46,28,2.0,505.0,ice,
noibat,714,40,30,35,45,40,55,0.5,8.0,flying,dragon
noivern,715,85,70,80,97,80,123,1.5,85.0,flying,dragon
xerneas,716,126,131,95,131,98,99,3.0,215.0,fairy,
yveltal,717,126,131,95,131,98,99,5.8,203.0,dark,flying
zygarde-50,718,108,100,121,81,95,95,5.0,305.0,dragon,ground
diancie,719,50,100,150,100,150,50,0.7,8.8,rock,fairy
hoopa,720,80,110,60,150,130,70,0.5,9.0,psychic,ghost
volcanion,721,80,110,120,130,90,70,1.7,195.0,fire,water
rowlet,722,68,55,55,50,50,42,0.3,1.5,grass,flying
dartrix,723,78,75,75,70,70,52,0.7,16.0,grass,flying
decidueye,724,78,107,75,100,100,70,1.6,36.6,grass,ghost
litten,725,45,65,40,60,40,70,0.4,4.3,fire,
torracat,726,65,85,50,80,50,90,0.7,25.0,fire,
incineroar,727,95,115,90,80,90,60,1.8,83.0,fire,dark
popplio,728,50,54,54,66,56,40,0.4,7.5,water,
brionne,729,60,69,69,91,81,50,0.6,17.5,water,
primarina,730,80,74,74,126,116,60,1.8,44.0,water,fairy
pikipek,731,35,75,30,30,30,65,0.3,1.2,normal,flying
trumbeak,732,55,85,50,40,50,75,0.6,14.8,normal,flying
toucannon,733,80,120,75,75,75,60,1.1,26.0,normal,flying
yungoos,734,48,70,30,30,30,45,0.4,6.0,normal,
gumshoos,735,88,110,60,55,60,45,0.7,14.2,normal,
grubbin,736,47,62,45,55,45,46,0.4,4.4,bug,
charjabug,737,57,82,95,55,75,36,0.5,10.5,bug,electric
vikavolt,738,77,70,90,145,75,43,1.5,45.0,bug,electric
crabrawler,739,47,82,57,42,47,63,0.6,7.0,fighting,
crabominable,740,97,132,77,62,67,43,1.7,180.0,fighting,ice
oricorio-baile,741,75,70,70,98,70,93,0.6,3.4,fire,flying
cutiefly,742,40,45,40,55,40,84,0.1,0.2,bug,fairy
ribombee,743,60,55,60,95,70,124,0.2,0.5,bug,fairy
rockruff,744,45,65,40,30,40,60,0.5,9.2,rock,
lycanroc-midday,745,75,115,65,55,65,112,0.8,25.0,rock,
wishiwashi-solo,746,45,20,20,25,25,40,0.2,0.3,water,
mareanie,747,50,53,62,43,52,45,0.4,8.0,poison,water
toxapex,748,50,63,152,53,142,35,0.7,14.5,poison,water
mudbray,749,70,100,70,45,55,45,1.0,110.0,ground,
mudsdale,750,100,125,100,55,85,35,2.5,920.0,ground,
dewpider,751,38,40,52,40,72,27,0.3,4.0,water,bug
araquanid,752,68,70,92,50,132,42,1.8,82.0,water,bug
fomantis,753,40,55,35,50,35,35,0.3,1.5,grass,
lurantis,754,70,105,90,80,90,45,0.9,18.5,grass,
morelull,755,40,35,55,65,75,15,0.2,1.5,grass,fairy
shiinotic,756,60,45,80,90,100,30,1.0,11.5,grass,fairy
salandit,757,48,44,40,71,40,77,0.6,4.8,poison,fire
salazzle,758,68,64,60,111,60,117,1.2,22.2,poison,fire
stufful,759,70,75,50,45,50,50,0.5,6.8,normal,fighting
bewear,760,120,125,80,55,60,60,2.1,135.0,normal,fighting
bounsweet,761,42,30,38,30,38,32,0.3,3.2,grass,
steenee,762,52,40,48,40,48,62,0.7,8.2,grass,
tsareena,763,72,120,98,50,98,72,1.2,21.4,grass,
comfey,764,51,52,90,82,110,100,0.1,0.3,fairy,
oranguru,765,90,60,80,90,110,60,1.5,76.0,normal,psychic
passimian,766,100,120,90,40,60,80,2.0,82.8,fighting,
wimpod,767,25,35,40,20,30,80,0.5,12.0,bug,water
golisopod,768,75,125,140,60,90,40,2.0,108.0,bug,water
sandygast,769,55,55,80,70,45,15,0.5,70.0,ghost,ground
palossand,770,85,75,110,100,75,35,1.3,250.0,ghost,ground
pyukumuku,771,55,60,130,30,130,5,0.3,1.2,water,
type-null,772,95,95,95,95,95,59,1.9,120.5,normal,
silvally,773,95,95,95,95,95,95,2.3,100.5,normal,
minior-red-meteor,774,60,60,100,60,100,60,0.3,40.0,rock,flying
komala,775,65,115,65,75,95,65,0.4,19.9,normal,
turtonator,776,60,78,135,91,85,36,2.0,212.0,fire,dragon
togedemaru,777,65,98,63,40,73,96,0.3,3.3,electric,steel
mimikyu-disguised,778,55,90,80,50,105,96,0.2,0.7,ghost,fairy
bruxish,779,68,105,70,70,70,92,0.9,19.0,water,psychic
drampa,780,78,60,85,135,91,36,3.0,185.0,normal,dragon
dhelmise,781,70,131,100,86,90,40,3.9,210.0,ghost,grass
jangmo-o,782,45,55,65,45,45,45,0.6,29.7,dragon,
hakamo-o,783,55,75,90,65,70,65,1.2,47.0,dragon,fighting
kommo-o,784,75,110,125,100,105,85,1.6,78.2,dragon,fighting
tapu-koko,785,70,115,85,95,75,130,1.8,20.5,electric,fairy
tapu-lele,786,70,85,75,130,115,95,1.2,18.6,psychic,fairy
tapu-bulu,787,70,130,115,85,95,75,1.9,45.5,grass,fairy
tapu-fini,788,70,75,115,95,130,85,1.3,21.2,water,fairy
cosmog,789,43,29,31,29,31,37,0.2,0.1,psychic,
cosmoem,790,43,29,131,29,131,37,0.1,999.9,psychic,
solgaleo,791,137,137,107,113,89,97,3.4,230.0,psychic,steel
lunala,792,137,113,89,137,107,97,4.0,120.0,psychic,ghost
nihilego,793,109,53,47,127,131,103,1.2,55.5,rock,poison
buzzwole,794,107,139,139,53,53,79,2.4,333.6,bug,fighting
pheromosa,795,71,137,37,137,37,151,1.8,25.0,bug,fighting
xurkitree,796,83,89,71,173,71,83,3.8,100.0,electric,
celesteela,797,97,101,103,107,101,61,9.2,999.9,steel,flying
kartana,798,59,181,131,59,31,109,0.3,0.1,grass,steel
guzzlord,799,223,101,53,97,53,43,5.5,888.0,dark,dragon
necrozma,800,97,107,101,127,89,79,2.4,230.0,psychic,
magearna,801,80,95,115,130,115,65,1.0,80.5,steel,fairy
marshadow,802,90,125,80,90,90,125,0.7,22.2,fighting,ghost
poipole,803,67,73,67,73,67,73,0.6,1.8,poison,
naganadel,804,73,73,73,127,73,121,3.6,150.0,poison,dragon
stakataka,805,61,131,211,53,101,13,5.5,820.0,rock,steel
blacephalon,806,53,127,53,151,79,107,1.8,13.0,fire,ghost
zeraora,807,88,112,75,102,80,143,1.5,44.5,electric,
meltan,808,46,65,65,55,35,34,0.2,8.0,steel,
melmetal,809,135,143,143,80,65,34,2.5,800.0,steel,
grookey,810,50,65,50,40,40,65,0.3,5.0,grass,
thwackey,811,70,85,70,55,60,80,0.7,14.0,grass,
rillaboom,812,100,125,90,60,70,85,2.1,90.0,grass,
scorbunny,813,50,71,40,40,40,69,0.3,4.5,fire,
raboot,814,65,86,60,55,60,94,0.6,9.0,fire,
cinderace,815,80,116,75,65,75,119,1.4,33.0,fire,
sobble,816,50,40,40,70,40,70,0.3,4.0,water,
drizzile,817,65,60,55,95,55,90,0.7,11.5,water,
inteleon,818,70,85,65,125,65,120,1.9,45.2,water,
skwovet,819,70,55,55,35,35,25,0.3,2.5,normal,
greedent,820,120,95,95,55,75,20,0.6,6.0,normal,
rookidee,821,38,47,35,33,35,57,0.2,1.8,flying,
corvisquire,822,68,67,55,43,55,77,0.8,16.0,flying,
corviknight,823,98,87,105,53,85,67,2.2,75.0,flying,steel
blipbug,824,25,20,20,25,45,45,0.4,8.0,bug,
dottler,825,50,35,80,50,90,30,0.4,19.5,bug,psychic
orbeetle,826,60,45,110,80,120,90,0.4,40.8,bug,psychic
nickit,827,40,28,28,47,52,50,0.6,8.9,dark,
thievul,828,70,58,58,87,92,90,1.2,19.9,dark,
gossifleur,829,40,40,60,40,60,10,0.4,2.2,grass,
eldegoss,830,60,50,90,80,120,60,0.5,2.5,grass,
wooloo,831,42,40,55,40,45,48,0.6,6.0,normal,
dubwool,832,72,80,100,60,90,88,1.3,43.0,normal,
chewtle,833,50,64,50,38,38,44,0.3,8.5,water,
drednaw,834,90,115,90,48,68,74,1.0,115.5,water,rock
yamper,835,59,45,50,40,50,26,0.3,13.5,electric,
boltund,836,69,90,60,90,60,121,1.0,34.0,electric,
rolycoly,837,30,40,50,40,50,30,0.3,12.0,rock,
carkol,838,80,60,90,60,70,50,1.1,78.0,rock,fire
coalossal,839,110,80,120,80,90,30,2.8,310.5,rock,fire
applin,840,40,40,80,40,40,20,0.2,0.5,grass,dragon
flapple,841,70,110,80,95,60,70,0.3,1.0,grass,dragon
appletun,842,110,85,80,100,80,30,0.4,13.0,grass,dragon
silicobra,843,52,57,75,35,50,46,2.2,7.6,ground,
sandaconda,844,72,107,125,65,70,71,3.8,65.5,ground,
cramorant,845,70,85,55,85,95,85,0.8,18.0,flying,water
arrokuda,846,41,63,40,40,30,66,0.5,1.0,water,
barraskewda,847,61,123,60,60,50,136,1.3,30.0,water,
toxel,848,40,38,35,54,35,40,0.4,11.0,electric,poison
toxtricity-amped,849,75,98,70,114,70,75,1.6,40.0,electric,poison
sizzlipede,850,50,65,45,50,50,45,0.7,1.0,fire,bug
centiskorch,851,100,115,65,90,90,65,3.0,120.0,fire,bug
clobbopus,852,50,68,60,50,50,32,0.6,4.0,fighting,
grapploct,853,80,118,90,70,80,42,1.6,39.0,fighting,
sinistea,854,40,45,45,74,54,50,0.1,0.2,ghost,
polteageist,855,60,65,65,134,114,70,0.2,0.4,ghost,
hatenna,856,42,30,45,56,53,39,0.4,3.4,psychic,
hattrem,857,57,40,65,86,73,49,0.6,4.8,psychic,
hatterene,858,57,90,95,136,103,29,2.1,5.1,psychic,fairy
impidimp,859,45,45,30,55,40,50,0.4,5.5,dark,fairy
morgrem,860,65,60,45,75,55,70,0.8,12.5,dark,fairy
grimmsnarl,861,95,120,65,95,75,60,1.5,61.0,dark,fairy
obstagoon,862,93,90,101,60,81,95,1.6,46.0,dark,normal
perrserker,863,70,110,100,50,60,50,0.8,28.0,steel,
cursola,864,60,95,50,145,130,30,1.0,0.4,ghost,
sirfetchd,865,62,135,95,68,82,65,0.8,117.0,fighting,
mr-rime,866,80,85,75,110,100,70,1.5,58.2,ice,psychic
runerigus,867,58,95,145,50,105,30,1.6,66.6,ground,ghost
milcery,868,45,40,40,50,61,34,0.2,0.3,fairy,
alcremie,869,65,60,75,110,121,64,0.3,0.5,fairy,
